episode,run_0
0,False
1,False
2,False
3,False
4,False
5,False
6,False
7,False
8,False
9,False
10,False
11,False
12,False
13,False
14,False
15,False
16,False
17,False
18,False
19,False
20,False
21,False
22,False
23,False
24,False
25,False
26,False
27,False
28,False
29,False
30,False
31,False
32,False
33,False
34,False
35,False
36,False
37,False
38,False
39,False
40,False
41,False
42,False
43,False
44,False
45,False
46,False
47,False
48,True
49,False
50,False
51,False
52,False
53,False
54,False
55,False
56,False
57,False
58,True
59,False
60,False
61,False
62,False
63,False
64,False
65,False
66,False
67,False
68,False
69,False
70,False
71,False
72,False
73,False
74,False
75,False
76,False
77,False
78,False
79,False
80,False
81,False
82,False
83,False
84,False
85,False
86,False
87,True
88,True
89,False
90,False
91,False
92,False
93,False
94,True
95,True
96,False
97,False
98,False
99,True
100,True
101,False
102,False
103,False
104,False
105,False
106,False
107,False
108,True
109,True
110,True
111,False
112,False
113,True
114,True
115,True
116,False
117,True
118,True
119,False
120,False
121,False
122,False
123,False
124,True
125,True
126,False
127,True
128,True
129,True
130,True
131,True
132,True
133,False
134,True
135,True
136,True
137,True
138,True
139,True
140,True
141,True
142,False
143,True
144,True
145,False
146,False
147,True
148,True
149,False
150,True
151,False
152,False
153,False
154,False
155,True
156,False
157,False
158,True
159,False
160,True
161,False
162,True
163,False
164,True
165,True
166,True
167,True
168,False
169,True
170,True
171,False
172,False
173,True
174,True
175,True
176,True
177,False
178,True
179,True
180,True
181,False
182,True
183,False
184,False
185,False
186,False
187,False
188,False
189,True
190,True
191,False
192,True
193,True
194,False
195,True
196,True
197,True
198,False
199,True
200,True
201,True
202,True
203,True
204,True
205,True
206,True
207,True
208,False
209,False
210,False
211,True
212,False
213,True
214,False
215,True
216,False
217,False
218,True
219,False
220,True
221,True
222,False
223,True
224,False
225,True
226,True
227,True
228,True
229,True
230,True
231,True
232,True
233,True
234,False
235,False
236,False
237,False
238,True
239,True
240,True
241,True
242,True
243,True
244,False
245,True
246,False
247,False
248,False
249,False
250,True
251,True
252,True
253,False
254,False
255,True
256,False
257,True
258,False
259,False
260,False
261,False
262,True
263,False
264,False
265,False
266,False
267,False
268,True
269,False
270,False
271,True
272,False
273,False
274,True
275,False
276,True
277,False
278,False
279,False
280,False
281,False
282,False
283,False
284,False
285,False
286,True
287,True
288,False
289,False
290,True
291,False
292,False
293,True
294,False
295,False
296,False
297,False
298,False
299,True
300,False
301,True
302,True
303,False
304,False
305,False
306,True
307,False
308,False
309,False
310,False
311,True
312,False
313,False
314,False
315,True
316,False
317,False
318,False
319,True
320,True
321,False
322,True
323,True
324,True
325,True
326,True
327,False
328,False
329,False
330,True
331,False
332,False
333,False
334,True
335,False
336,True
337,True
338,True
339,False
340,False
341,False
342,True
343,True
344,False
345,True
346,True
347,True
348,True
349,True
350,True
351,True
352,False
353,False
354,False
355,True
356,False
357,False
358,True
359,False
360,False
361,False
362,True
363,True
364,True
365,False
366,True
367,False
368,True
369,True
370,True
371,True
372,True
373,True
374,False
375,False
376,False
377,False
378,False
379,False
380,False
381,True
382,False
383,True
384,False
385,False
386,True
387,False
388,False
389,False
390,True
391,False
392,True
393,True
394,True
395,True
396,False
397,True
398,False
399,False
400,False
401,False
402,True
403,True
404,False
405,True
406,False
407,True
408,True
409,True
410,False
411,True
412,True
413,False
414,True
415,True
416,True
417,False
418,False
419,False
420,True
421,False
422,False
423,False
424,False
425,True
426,True
427,True
428,True
429,False
430,True
431,False
432,False
433,False
434,True
435,False
436,False
437,True
438,False
439,False
440,False
441,False
442,True
443,True
444,False
445,False
446,False
447,False
448,True
449,False
450,False
451,False
452,False
453,True
454,False
455,False
456,False
457,False
458,True
459,True
460,True
461,False
462,False
463,False
464,False
465,False
466,True
467,False
468,True
469,True
470,False
471,False
472,False
473,True
474,False
475,True
476,False
477,False
478,False
479,False
480,False
481,False
482,True
483,True
484,True
485,False
486,True
487,True
488,True
489,True
490,True
491,True
492,False
493,True
494,False
495,True
496,True
497,True
498,True
499,False
500,False
501,False
502,False
503,False
504,False
505,False
506,True
507,False
508,True
509,False
510,False
511,False
512,False
513,False
514,True
515,True
516,False
517,False
518,False
519,True
520,True
521,True
522,True
523,True
524,True
525,True
526,True
527,True
528,False
529,False
530,False
531,False
532,False
533,True
534,False
535,False
536,False
537,True
538,False
539,False
540,True
541,True
542,False
543,False
544,False
545,False
546,False
547,True
548,False
549,True
550,True
551,False
552,True
553,True
554,True
555,False
556,False
557,False
558,False
559,False
560,True
561,True
562,False
563,False
564,False
565,True
566,False
567,False
568,False
569,False
570,False
571,False
572,False
573,False
574,False
575,False
576,False
577,True
578,True
579,False
580,False
581,False
582,False
583,False
584,False
585,False
586,True
587,False
588,False
589,True
590,False
591,False
592,False
593,False
594,False
595,True
596,False
597,True
598,False
599,False
600,False
601,False
602,False
603,False
604,False
605,False
606,False
607,False
608,False
609,False
610,False
611,True
612,False
613,False
614,False
615,True
616,False
617,False
618,False
619,False
620,False
621,True
622,False
623,False
624,False
625,False
626,True
627,True
628,False
629,True
630,False
631,False
632,False
633,True
634,True
635,False
636,True
637,True
638,True
639,True
640,True
641,True
642,True
643,True
644,True
645,False
646,True
647,True
648,True
649,True
650,True
651,False
652,True
653,False
654,True
655,False
656,True
657,True
658,True
659,True
660,True
661,True
662,False
663,False
664,False
665,False
666,False
667,False
668,True
669,False
670,False
671,False
672,False
673,False
674,False
675,False
676,False
677,False
678,False
679,False
680,False
681,False
682,False
683,False
684,False
685,False
686,False
687,True
688,False
689,False
690,False
691,False
692,False
693,False
694,False
695,False
696,False
697,False
698,False
699,False
700,False
701,False
702,False
703,False
704,False
705,False
706,False
707,False
708,False
709,False
710,False
711,False
712,True
713,False
714,False
715,False
716,False
717,True
718,False
719,False
720,False
721,False
722,False
723,False
724,False
725,False
726,False
727,False
728,True
729,False
730,False
731,False
732,False
733,False
734,True
735,False
736,False
737,False
738,False
739,False
740,False
741,True
742,False
743,False
744,True
745,True
746,False
747,False
748,True
749,True
750,True
751,True
752,False
753,True
754,False
755,False
756,False
757,False
758,False
759,False
760,True
761,False
762,False
763,False
764,False
765,False
766,False
767,False
768,False
769,False
770,False
771,False
772,False
773,True
774,True
775,False
776,False
777,True
778,False
779,False
780,True
781,False
782,True
783,False
784,False
785,True
786,True
787,False
788,False
789,False
790,False
791,False
792,False
793,False
794,True
795,False
796,False
797,False
798,False
799,False
800,False
801,False
802,False
803,False
804,False
805,False
806,False
807,False
808,False
809,False
810,False
811,True
812,False
813,False
814,False
815,False
816,False
817,False
818,False
819,False
820,False
821,False
822,False
823,False
824,False
825,False
826,False
827,True
828,False
829,False
830,False
831,False
832,False
833,False
834,False
835,True
836,False
837,False
838,False
839,False
840,False
841,False
842,False
843,False
844,False
845,False
846,False
847,True
848,False
849,False
850,True
851,False
852,False
853,False
854,True
855,False
856,False
857,False
858,False
859,False
860,False
861,False
862,False
863,False
864,False
865,False
866,False
867,False
868,False
869,False
870,True
871,False
872,False
873,False
874,False
875,False
876,False
877,False
878,False
879,False
880,False
881,False
882,False
883,False
884,False
885,False
886,False
887,False
888,False
889,False
890,False
891,False
892,False
893,False
894,False
895,False
896,False
897,False
898,False
899,False
900,False
901,False
902,False
903,False
904,False
905,False
906,False
907,False
908,False
909,True
910,False
911,True
912,False
913,False
914,False
915,False
916,True
917,False
918,False
919,False
920,False
921,False
922,False
923,True
924,False
925,False
926,False
927,False
928,False
929,False
930,False
931,True
932,False
933,False
934,False
935,False
936,False
937,False
938,False
939,False
940,False
941,False
942,False
943,False
944,False
945,False
946,False
947,False
948,True
949,True
950,False
951,False
952,False
953,False
954,True
955,True
956,True
957,False
958,True
959,False
960,False
961,False
962,False
963,False
964,False
965,False
966,False
967,False
968,False
969,False
970,False
971,True
972,False
973,True
974,False
975,True
976,False
977,False
978,False
979,False
980,False
981,False
982,False
983,False
984,True
985,False
986,False
987,False
988,False
989,False
990,False
991,True
992,False
993,False
994,True
995,True
996,False
997,True
998,False
999,True
1000,False
1001,False
1002,True
1003,True
1004,True
1005,False
1006,False
1007,True
1008,False
1009,True
1010,False
1011,True
1012,False
1013,False
1014,False
1015,False
1016,False
1017,False
1018,False
1019,False
1020,False
1021,True
1022,False
1023,False
1024,False
1025,False
1026,False
1027,True
1028,False
1029,False
1030,False
1031,False
1032,True
1033,True
1034,False
1035,False
1036,True
1037,False
1038,False
1039,True
1040,False
1041,False
1042,False
1043,False
1044,False
1045,False
1046,False
1047,True
1048,False
1049,False
1050,False
1051,False
1052,False
1053,False
1054,False
1055,False
1056,False
1057,False
1058,False
1059,False
1060,False
1061,False
1062,False
1063,False
1064,False
1065,False
1066,False
1067,False
1068,False
1069,True
1070,True
1071,True
1072,False
1073,False
1074,False
1075,True
1076,False
1077,False
1078,False
1079,False
1080,False
1081,False
1082,False
1083,False
1084,False
1085,False
1086,False
1087,False
1088,False
1089,False
1090,False
1091,False
1092,False
1093,False
1094,False
1095,False
1096,False
1097,False
1098,False
1099,False
1100,False
1101,False
1102,True
1103,False
1104,True
1105,False
1106,False
1107,False
1108,False
1109,False
1110,False
1111,False
1112,False
1113,False
1114,False
1115,False
1116,False
1117,False
1118,True
1119,False
1120,False
1121,False
1122,False
1123,False
1124,False
1125,False
1126,False
1127,False
1128,False
1129,False
1130,False
1131,False
1132,False
1133,False
1134,False
1135,False
1136,False
1137,True
1138,True
1139,True
1140,False
1141,False
1142,False
1143,False
1144,False
1145,True
1146,False
1147,True
1148,True
1149,False
1150,False
1151,False
1152,False
1153,False
1154,False
1155,True
1156,True
1157,True
1158,False
1159,False
1160,True
1161,False
1162,True
1163,False
1164,True
1165,False
1166,False
1167,False
1168,False
1169,False
1170,False
1171,False
1172,False
1173,False
1174,False
1175,True
1176,False
1177,False
1178,False
1179,True
1180,False
1181,False
1182,False
1183,False
1184,False
1185,False
1186,False
1187,False
1188,True
1189,False
1190,False
1191,False
1192,False
1193,False
1194,False
1195,False
1196,False
1197,False
1198,False
1199,False
1200,False
1201,False
1202,False
1203,False
1204,False
1205,False
1206,False
1207,False
1208,False
1209,False
1210,False
1211,False
1212,False
1213,False
1214,False
1215,False
1216,False
1217,False
1218,False
1219,False
1220,False
1221,False
1222,False
1223,False
1224,False
1225,False
1226,False
1227,False
1228,False
1229,True
1230,False
1231,False
1232,False
1233,False
1234,False
1235,False
1236,False
1237,False
1238,False
1239,True
1240,False
1241,False
1242,True
1243,False
1244,False
1245,False
1246,False
1247,False
1248,False
1249,False
1250,False
1251,False
1252,False
1253,False
1254,False
1255,False
1256,False
1257,True
1258,False
1259,True
1260,True
1261,False
1262,True
1263,True
1264,False
1265,False
1266,False
1267,False
1268,False
1269,True
1270,True
1271,False
1272,False
1273,False
1274,False
1275,False
1276,False
1277,False
1278,False
1279,True
1280,False
1281,False
1282,False
1283,False
1284,True
1285,True
1286,False
1287,True
1288,True
1289,True
1290,False
1291,False
1292,False
1293,False
1294,False
1295,True
1296,False
1297,False
1298,False
1299,False
1300,False
1301,False
1302,False
1303,False
1304,True
1305,False
1306,False
1307,False
1308,False
1309,False
1310,False
1311,False
1312,False
1313,False
1314,False
1315,False
1316,False
1317,False
1318,False
1319,False
1320,False
1321,False
1322,False
1323,False
1324,False
1325,False
1326,True
1327,False
1328,False
1329,False
1330,False
1331,False
1332,False
1333,False
1334,False
1335,False
1336,False
1337,False
1338,False
1339,False
1340,False
1341,True
1342,False
1343,False
1344,False
1345,True
1346,False
1347,False
1348,False
1349,False
1350,False
1351,False
1352,False
1353,False
1354,False
1355,True
1356,False
1357,False
1358,False
1359,False
1360,False
1361,False
1362,False
1363,False
1364,False
1365,False
1366,False
1367,False
1368,False
1369,False
1370,True
1371,False
1372,False
1373,False
1374,False
1375,False
1376,False
1377,False
1378,False
1379,False
1380,False
1381,False
1382,False
1383,False
1384,False
1385,True
1386,False
1387,False
1388,False
1389,False
1390,False
1391,False
1392,False
1393,False
1394,False
1395,False
1396,False
1397,False
1398,True
1399,False
1400,False
1401,False
1402,False
1403,True
1404,False
1405,False
1406,False
1407,False
1408,True
1409,False
1410,False
1411,False
1412,True
1413,False
1414,False
1415,False
1416,False
1417,False
1418,False
1419,False
1420,False
1421,False
1422,False
1423,False
1424,False
1425,True
1426,True
1427,False
1428,True
1429,True
1430,True
1431,False
1432,True
1433,False
1434,True
1435,False
1436,False
1437,False
1438,False
1439,False
1440,False
1441,False
1442,False
1443,False
1444,False
1445,True
1446,False
1447,False
1448,False
1449,True
1450,False
1451,True
1452,True
1453,False
1454,True
1455,False
1456,False
1457,False
1458,False
1459,False
1460,False
1461,False
1462,False
1463,True
1464,False
1465,False
1466,False
1467,True
1468,True
1469,False
1470,False
1471,False
1472,False
1473,False
1474,False
1475,False
1476,False
1477,True
1478,False
1479,False
1480,False
1481,False
1482,False
1483,False
1484,False
1485,False
1486,False
1487,False
1488,False
1489,False
1490,False
1491,True
1492,False
1493,True
1494,False
1495,False
1496,False
1497,False
1498,False
1499,False
1500,False
1501,False
1502,False
1503,False
1504,False
1505,False
1506,False
1507,False
1508,False
1509,True
1510,False
1511,False
1512,False
1513,False
1514,False
1515,False
1516,False
1517,False
1518,False
1519,False
1520,False
1521,True
1522,False
1523,False
1524,False
1525,False
1526,False
1527,False
1528,False
1529,False
1530,False
1531,False
1532,False
1533,False
1534,False
1535,True
1536,False
1537,False
1538,False
1539,False
1540,False
1541,False
1542,False
1543,False
1544,False
1545,False
1546,False
1547,False
1548,False
1549,False
1550,False
1551,True
1552,False
1553,False
1554,False
1555,False
1556,True
1557,False
1558,False
1559,False
1560,False
1561,False
1562,False
1563,False
1564,False
1565,False
1566,False
1567,False
1568,False
1569,False
1570,False
1571,False
1572,False
1573,False
1574,True
1575,True
1576,False
1577,False
1578,False
1579,False
1580,False
1581,False
1582,False
1583,False
1584,False
1585,False
1586,False
1587,False
1588,False
1589,False
1590,False
1591,False
1592,False
1593,False
1594,False
1595,False
1596,False
1597,False
1598,True
1599,False
1600,False
1601,False
1602,False
1603,False
1604,False
1605,False
1606,False
1607,False
1608,False
1609,False
1610,False
1611,False
1612,False
1613,False
1614,False
1615,False
1616,False
1617,False
1618,False
1619,False
1620,False
1621,False
1622,False
1623,False
1624,False
1625,False
1626,False
1627,False
1628,False
1629,False
1630,False
1631,False
1632,False
1633,False
1634,False
1635,False
1636,False
1637,False
1638,False
1639,False
1640,False
1641,False
1642,False
1643,False
1644,False
1645,False
1646,False
1647,False
1648,False
1649,True
1650,False
1651,False
1652,False
1653,False
1654,False
1655,False
1656,False
1657,True
1658,False
1659,False
1660,False
1661,False
1662,False
1663,False
1664,False
1665,False
1666,False
1667,False
1668,False
1669,True
1670,False
1671,False
1672,True
1673,False
1674,False
1675,False
1676,False
1677,False
1678,False
1679,False
1680,False
1681,False
1682,False
1683,False
1684,False
1685,False
1686,True
1687,False
1688,False
1689,False
1690,False
1691,False
1692,False
1693,False
1694,True
1695,False
1696,False
1697,False
1698,False
1699,False
1700,False
1701,True
1702,False
1703,False
1704,False
1705,False
1706,False
1707,False
1708,False
1709,False
1710,True
1711,False
1712,False
1713,False
1714,False
1715,False
1716,False
1717,True
1718,False
1719,False
1720,False
1721,False
1722,True
1723,False
1724,True
1725,False
1726,False
1727,False
1728,True
1729,False
1730,False
1731,False
1732,False
1733,False
1734,False
1735,True
1736,False
1737,False
1738,False
1739,False
1740,False
1741,False
1742,False
1743,True
1744,True
1745,False
1746,False
1747,True
1748,False
1749,False
1750,False
1751,True
1752,False
1753,False
1754,False
1755,False
1756,False
1757,False
1758,False
1759,False
1760,False
1761,False
1762,False
1763,False
1764,False
1765,False
1766,False
1767,False
1768,False
1769,False
1770,False
1771,False
1772,False
1773,False
1774,False
1775,False
1776,False
1777,False
1778,False
1779,False
1780,False
1781,False
1782,False
1783,False
1784,False
1785,False
1786,False
1787,False
1788,False
1789,False
1790,False
1791,False
1792,False
1793,False
1794,False
1795,False
1796,False
1797,False
1798,False
1799,False
1800,False
1801,False
1802,False
1803,False
1804,False
1805,False
1806,False
1807,False
1808,False
1809,False
1810,False
1811,False
1812,False
1813,False
1814,True
1815,False
1816,False
1817,False
1818,False
1819,False
1820,True
1821,False
1822,False
1823,False
1824,False
1825,True
1826,False
1827,False
1828,False
1829,False
1830,False
1831,False
1832,False
1833,False
1834,False
1835,False
1836,False
1837,False
1838,False
1839,False
1840,False
1841,False
1842,False
1843,False
1844,False
1845,False
1846,False
1847,False
1848,False
1849,False
1850,False
1851,False
1852,False
1853,False
1854,False
1855,False
1856,False
1857,False
1858,False
1859,False
1860,False
1861,False
1862,False
1863,True
1864,False
1865,False
1866,False
1867,False
1868,False
1869,False
1870,False
1871,False
1872,False
1873,True
1874,False
1875,False
1876,True
1877,False
1878,False
1879,False
1880,False
1881,False
1882,False
1883,False
1884,False
1885,False
1886,False
1887,False
1888,False
1889,False
1890,False
1891,False
1892,False
1893,False
1894,False
1895,False
1896,False
1897,False
1898,True
1899,False
1900,False
1901,False
1902,False
1903,False
1904,False
1905,False
1906,False
1907,False
1908,False
1909,False
1910,False
1911,False
1912,False
1913,False
1914,False
1915,False
1916,False
1917,False
1918,False
1919,False
1920,False
1921,False
1922,False
1923,False
1924,False
1925,False
1926,False
1927,False
1928,False
1929,False
1930,False
1931,False
1932,False
1933,False
1934,False
1935,False
1936,False
1937,False
1938,False
1939,False
1940,False
1941,False
1942,False
1943,False
1944,False
1945,False
1946,False
1947,False
1948,False
1949,False
1950,False
1951,False
1952,False
1953,False
1954,False
1955,False
1956,False
1957,False
1958,False
1959,False
1960,False
1961,False
1962,False
1963,False
1964,False
1965,False
1966,False
1967,False
1968,False
1969,False
1970,False
1971,False
1972,False
1973,False
1974,False
1975,False
1976,False
1977,False
1978,False
1979,False
1980,False
1981,False
1982,False
1983,False
1984,False
1985,False
1986,False
1987,False
1988,False
1989,False
1990,False
1991,False
1992,False
1993,False
1994,False
1995,False
1996,False
1997,False
1998,False
1999,False
2000,False
2001,False
2002,False
2003,False
2004,False
2005,False
2006,False
2007,False
2008,False
2009,False
2010,False
2011,False
2012,False
2013,True
2014,False
2015,False
2016,False
2017,False
2018,False
2019,False
2020,False
2021,True
2022,False
2023,False
2024,True
2025,False
2026,True
2027,False
2028,False
2029,False
2030,True
2031,False
2032,False
2033,False
2034,False
2035,False
2036,False
2037,False
2038,False
2039,False
2040,False
2041,False
2042,False
2043,False
2044,False
2045,False
2046,False
2047,False
2048,False
2049,False
2050,False
2051,True
2052,False
2053,False
2054,False
2055,False
2056,False
2057,False
2058,False
2059,False
2060,False
2061,False
2062,False
2063,False
2064,False
2065,False
2066,False
2067,False
2068,False
2069,False
2070,False
2071,False
2072,False
2073,False
2074,False
2075,False
2076,False
2077,False
2078,False
2079,False
2080,False
2081,False
2082,False
2083,False
2084,False
2085,False
2086,False
2087,False
2088,False
2089,False
2090,False
2091,False
2092,False
2093,False
2094,False
2095,False
2096,False
2097,False
2098,False
2099,False
2100,False
2101,False
2102,False
2103,False
2104,False
2105,False
2106,False
2107,False
2108,False
2109,False
2110,False
2111,False
2112,False
2113,False
2114,False
2115,False
2116,False
2117,False
2118,False
2119,True
2120,False
2121,False
2122,False
2123,False
2124,False
2125,False
2126,False
2127,False
2128,False
2129,False
2130,False
2131,False
2132,False
2133,False
2134,False
2135,False
2136,False
2137,False
2138,False
2139,False
2140,False
2141,False
2142,False
2143,False
2144,False
2145,False
2146,False
2147,False
2148,False
2149,False
2150,False
2151,False
2152,True
2153,False
2154,False
2155,True
2156,False
2157,False
2158,False
2159,False
2160,False
2161,False
2162,False
2163,False
2164,False
2165,False
2166,False
2167,False
2168,False
2169,False
2170,False
2171,False
2172,False
2173,False
2174,False
2175,False
2176,False
2177,True
2178,False
2179,False
2180,False
2181,False
2182,False
2183,False
2184,False
2185,False
2186,False
2187,False
2188,False
2189,False
2190,False
2191,False
2192,False
2193,False
2194,False
2195,False
2196,False
2197,False
2198,False
2199,False
2200,False
2201,False
2202,False
2203,False
2204,False
2205,False
2206,False
2207,False
2208,False
2209,False
2210,False
2211,False
2212,False
2213,False
2214,False
2215,False
2216,False
2217,False
2218,False
2219,False
2220,False
2221,False
2222,True
2223,False
2224,False
2225,False
2226,False
2227,False
2228,False
2229,False
2230,False
2231,False
2232,False
2233,False
2234,False
2235,False
2236,False
2237,False
2238,False
2239,False
2240,False
2241,False
2242,False
2243,False
2244,False
2245,False
2246,False
2247,False
2248,False
2249,False
2250,False
2251,False
2252,False
2253,False
2254,False
2255,False
2256,False
2257,False
2258,False
2259,False
2260,False
2261,False
2262,False
2263,False
2264,False
2265,False
2266,False
2267,False
2268,True
2269,False
2270,False
2271,True
2272,False
2273,False
2274,False
2275,True
2276,True
2277,False
2278,False
2279,False
2280,False
2281,False
2282,True
2283,False
2284,False
2285,False
2286,False
2287,False
2288,False
2289,False
2290,False
2291,False
2292,False
2293,False
2294,False
2295,False
2296,False
2297,False
2298,False
2299,False
2300,False
2301,False
2302,False
2303,False
2304,False
2305,False
2306,False
2307,False
2308,False
2309,False
2310,False
2311,False
2312,False
2313,False
2314,False
2315,False
2316,False
2317,False
2318,False
2319,False
2320,False
2321,False
2322,False
2323,True
2324,False
2325,False
2326,False
2327,False
2328,False
2329,False
2330,False
2331,False
2332,False
2333,False
2334,False
2335,False
2336,False
2337,False
2338,False
2339,False
2340,False
2341,False
2342,False
2343,False
2344,False
2345,False
2346,False
2347,False
2348,False
2349,False
2350,False
2351,False
2352,False
2353,False
2354,False
2355,False
2356,False
2357,False
2358,False
2359,False
2360,False
2361,False
2362,False
2363,True
2364,False
2365,False
2366,False
2367,False
2368,False
2369,False
2370,False
2371,False
2372,False
2373,False
2374,False
2375,False
2376,False
2377,False
2378,False
2379,False
2380,False
2381,False
2382,False
2383,False
2384,False
2385,False
2386,False
2387,False
2388,False
2389,False
2390,False
2391,False
2392,False
2393,False
2394,False
2395,False
2396,False
2397,False
2398,False
2399,False
2400,False
2401,False
2402,False
2403,False
2404,False
2405,False
2406,False
2407,False
2408,False
2409,False
2410,False
2411,False
2412,False
2413,False
2414,False
2415,False
2416,False
2417,False
2418,False
2419,False
2420,False
2421,False
2422,False
2423,False
2424,False
2425,False
2426,False
2427,False
2428,False
2429,False
2430,False
2431,False
2432,False
2433,False
2434,True
2435,False
2436,False
2437,False
2438,False
2439,False
2440,False
2441,False
2442,False
2443,False
2444,False
2445,False
2446,False
2447,False
2448,False
2449,False
2450,False
2451,False
2452,False
2453,False
2454,False
2455,False
2456,True
2457,False
2458,False
2459,False
2460,False
2461,False
2462,False
2463,False
2464,False
2465,False
2466,False
2467,False
2468,False
2469,False
2470,False
2471,False
2472,False
2473,False
2474,False
2475,False
2476,True
2477,False
2478,False
2479,False
2480,False
2481,False
2482,False
2483,False
2484,False
2485,False
2486,False
2487,False
2488,False
2489,False
2490,False
2491,False
2492,False
2493,False
2494,False
2495,False
2496,False
2497,False
2498,False
2499,False
2500,False
2501,False
2502,False
2503,False
2504,False
2505,False
2506,False
2507,False
2508,False
2509,False
2510,False
2511,False
2512,False
2513,False
2514,False
2515,False
2516,False
2517,False
2518,False
2519,False
2520,False
2521,False
2522,False
2523,False
2524,False
2525,False
2526,False
2527,False
2528,False
2529,False
2530,False
2531,False
2532,False
2533,False
2534,False
2535,False
2536,False
2537,False
2538,False
2539,False
2540,False
2541,False
2542,False
2543,False
2544,False
2545,False
2546,False
2547,False
2548,False
2549,False
2550,False
2551,False
2552,False
2553,False
2554,False
2555,False
2556,False
2557,False
2558,False
2559,False
2560,False
2561,False
2562,False
2563,False
2564,False
2565,False
2566,False
2567,False
2568,False
2569,False
2570,False
2571,False
2572,False
2573,False
2574,False
2575,False
2576,False
2577,False
2578,False
2579,False
2580,False
2581,False
2582,False
2583,False
2584,False
2585,False
2586,False
2587,False
2588,False
2589,False
2590,False
2591,False
2592,False
2593,False
2594,False
2595,False
2596,False
2597,False
2598,False
2599,False
2600,False
2601,False
2602,False
2603,False
2604,False
2605,False
2606,False
2607,False
2608,False
2609,True
2610,False
2611,False
2612,False
2613,False
2614,False
2615,False
2616,False
2617,False
2618,False
2619,False
2620,False
2621,False
2622,False
2623,False
2624,False
2625,False
2626,False
2627,True
2628,False
2629,False
2630,False
2631,False
2632,False
2633,False
2634,False
2635,False
2636,False
2637,False
2638,False
2639,False
2640,False
2641,False
2642,False
2643,False
2644,False
2645,False
2646,False
2647,False
2648,False
2649,False
2650,False
2651,False
2652,False
2653,False
2654,False
2655,False
2656,False
2657,False
2658,False
2659,False
2660,False
2661,False
2662,False
2663,False
2664,False
2665,False
2666,False
2667,False
2668,False
2669,False
2670,False
2671,False
2672,False
2673,False
2674,False
2675,False
2676,False
2677,False
2678,False
2679,False
2680,False
2681,False
2682,False
2683,False
2684,False
2685,False
2686,False
2687,False
2688,False
2689,False
2690,False
2691,False
2692,False
2693,False
2694,False
2695,False
2696,False
2697,False
2698,False
2699,False
2700,False
2701,False
2702,False
2703,False
2704,False
2705,False
2706,False
2707,False
2708,False
2709,False
2710,False
2711,False
2712,False
2713,False
2714,False
2715,False
2716,False
2717,False
2718,False
2719,False
2720,False
2721,False
2722,False
2723,False
2724,False
2725,False
2726,False
2727,False
2728,False
2729,False
2730,False
2731,False
2732,False
2733,False
2734,False
2735,False
2736,False
2737,False
2738,False
2739,False
2740,False
2741,False
2742,False
2743,False
2744,False
2745,False
2746,False
2747,False
2748,False
2749,False
2750,False
2751,False
2752,False
2753,False
2754,False
2755,False
2756,False
2757,False
2758,False
2759,False
2760,False
2761,False
2762,False
2763,False
2764,False
2765,False
2766,False
2767,False
2768,False
2769,False
2770,False
2771,False
2772,False
2773,False
2774,False
2775,False
2776,False
2777,False
2778,False
2779,False
2780,False
2781,False
2782,False
2783,False
2784,False
2785,False
2786,False
2787,False
2788,False
2789,False
2790,False
2791,False
2792,False
2793,False
2794,False
2795,False
2796,False
2797,False
2798,False
2799,False
2800,False
2801,False
2802,False
2803,False
2804,False
2805,False
2806,False
2807,False
2808,False
2809,False
2810,False
2811,False
2812,False
2813,False
2814,False
2815,False
2816,False
2817,False
2818,False
2819,False
2820,False
2821,False
2822,False
2823,False
2824,False
2825,False
2826,False
2827,False
2828,False
2829,False
2830,False
2831,False
2832,False
2833,False
2834,False
2835,False
2836,False
2837,False
2838,False
2839,False
2840,False
2841,False
2842,False
2843,True
2844,False
2845,False
2846,False
2847,False
2848,False
2849,False
2850,False
2851,False
2852,False
2853,False
2854,False
2855,False
2856,False
2857,False
2858,False
2859,False
2860,False
2861,False
2862,False
2863,False
2864,False
2865,False
2866,False
2867,False
2868,False
2869,False
2870,False
2871,False
2872,False
2873,False
2874,False
2875,False
2876,False
2877,False
2878,False
2879,False
2880,False
2881,False
2882,False
2883,False
2884,False
2885,False
2886,False
2887,False
2888,False
2889,False
2890,False
2891,False
2892,False
2893,False
2894,False
2895,False
2896,False
