,K_epochs,actor_lr,c1,c2,cal_total_loss,critic_lr,early_stop,eps_clip,gamma,kl_threshold,lamb,max_grad_norm,max_training_iter,memory_size,minibatch_size,num_cells,parameters_hardshare,episode_reward_mean,episode_reward_std,success_mean,success_std,crashed_mean,crashed_std,truncated_mean,truncated_std
0,20,0.0003,1,0,TRUE,0.001,FALSE,0.3,0.95,0.15,0.9,1,122952.0739,2048,32,128,FALSE,-73.57729931,12.06213244,0,0,29.33333333,8.144527815,70.66666667,8.144527815
1,10,0.0003,1,0.01,TRUE,0.0001,FALSE,0.3,0.99,0.15,0.95,1,184889.9391,2048,64,256,FALSE,-89.29261778,14.7716558,0,0,35,3.605551275,65,3.605551275
2,5,0.0003,0.5,0.1,TRUE,0.0003,FALSE,0.2,0.95,0.15,0.9,0.5,94678.1872,1024,32,128,FALSE,-112.2874463,13.19383446,0,0,41.33333333,7.023769169,58.66666667,7.023769169
3,20,0.001,1,0.01,TRUE,0.0001,FALSE,0.1,0.95,0.15,0.9,1,265717.9251,2048,64,128,FALSE,-58.55501476,5.818865363,0,0,16,1,84,1
4,5,0.0003,1,0.1,TRUE,0.0001,FALSE,0.3,0.95,0.15,0.95,0.5,134758.8603,2048,32,256,FALSE,-122.0100161,7.259949151,0,0,54.66666667,0.577350269,45.33333333,0.577350269
5,5,0.0003,1,0.1,TRUE,0.0003,FALSE,0.2,0.99,0.15,0.9,1,244696.966,2048,32,128,FALSE,-84.43392511,9.207661457,0,0,30.66666667,4.041451884,69.33333333,4.041451884
6,20,0.0001,0.1,0,TRUE,0.001,FALSE,0.1,0.95,0.15,0.95,0.5,281294.4348,2048,32,64,FALSE,-49.23915997,2.211560062,0,0,10,2.645751311,90,2.645751311
7,10,0.0003,1,0.01,TRUE,0.0001,FALSE,0.1,0.99,0.15,0.95,0.5,140583.867,4096,128,256,FALSE,-88.99404644,17.53066829,0,0,13,6.92820323,87,6.92820323
8,20,0.0003,1,0,TRUE,0.001,FALSE,0.3,0.95,0.15,0.9,0.5,122117.9229,4096,32,128,FALSE,-65.05923198,18.82798274,0,0,29,25.51470164,71,25.51470164
9,20,0.001,1,0.1,TRUE,0.001,FALSE,0.1,0.99,0.15,0.95,0.5,185473.6542,4096,32,64,FALSE,-121.9820583,13.46090253,0,0,46.66666667,18.14754345,53.33333333,18.14754345
10,20,0.001,0.1,0.1,TRUE,0.0003,FALSE,0.1,0.95,0.15,0.9,0.5,114865.3284,1024,64,128,FALSE,-144.7701428,27.29062878,0,0,56.33333333,26.57693235,43.66666667,26.57693235
11,10,0.0003,0.1,0.01,TRUE,0.0003,FALSE,0.2,0.95,0.15,0.95,0.5,86941.07567,4096,32,64,FALSE,-88.27814757,7.133706307,0,0,21.33333333,3.511884584,78.66666667,3.511884584
12,10,0.0001,0.5,0,TRUE,0.0001,FALSE,0.1,0.95,0.15,0.95,1,166594.0378,4096,32,128,FALSE,-77.9250393,3.05713634,0,0,20.33333333,2.081665999,80,2.645751311
13,5,0.001,1,0.01,TRUE,0.0003,FALSE,0.1,0.95,0.15,0.9,0.5,236795.3337,1024,32,256,FALSE,-121.6670969,2.996862757,0,0,24,2,76,2
14,20,0.0001,0.5,0.1,TRUE,0.0001,FALSE,0.3,0.95,0.15,0.9,0.5,90824.21363,4096,32,128,FALSE,-104.2914909,12.15749641,0,0,39,13.89244399,61,13.89244399
15,5,0.0003,0.1,0.01,TRUE,0.0001,FALSE,0.2,0.95,0.15,0.9,1,279629.6487,1024,128,64,FALSE,-140.1248487,63.57705267,0,0,14.33333333,9.073771726,85.66666667,9.073771726
16,20,0.0001,0.1,0.1,TRUE,0.0001,FALSE,0.2,0.99,0.15,0.95,1,143187.1421,1024,64,64,FALSE,-122.2389401,22.70485618,0,0,40.33333333,16.01041328,59.66666667,16.01041328
17,5,0.0001,0.1,0.01,TRUE,0.001,FALSE,0.1,0.99,0.15,0.95,0.5,152364.434,1024,64,64,FALSE,-130.0116903,4.838076175,0,0,29.33333333,3.214550254,70.66666667,3.214550254
18,10,0.0001,1,0.01,TRUE,0.001,FALSE,0.3,0.95,0.15,0.95,0.5,119510.0734,4096,64,128,FALSE,-100.4253941,9.195838524,0,0,21.66666667,9.291573243,78.33333333,9.291573243
19,20,0.0003,0.1,0.01,TRUE,0.0001,FALSE,0.1,0.99,0.15,0.95,0.5,242874.1816,1024,32,256,FALSE,-64.59110403,8.167642825,0,0,20.66666667,10.5039675,79.33333333,10.5039675
20,10,0.0001,1,0.1,TRUE,0.0003,FALSE,0.2,0.99,0.15,0.95,1,264457.4544,1024,128,128,FALSE,-87.52540026,20.25543236,0,0,23.66666667,10.11599394,76.33333333,10.11599394
21,10,0.001,1,0.1,TRUE,0.001,FALSE,0.1,0.95,0.15,0.95,0.5,242065.573,2048,128,128,FALSE,-95.41855602,4.307319099,0,0,29.66666667,4.509249753,70.33333333,4.509249753
22,5,0.0001,1,0.01,TRUE,0.0001,FALSE,0.3,0.95,0.15,0.95,1,86888.64952,1024,64,64,FALSE,-143.0090564,14.64853995,0,0,44.33333333,11.01514109,56,10.44030651
23,5,0.0003,1,0.01,TRUE,0.001,FALSE,0.2,0.99,0.15,0.95,1,156248.127,2048,32,128,FALSE,-66.73889022,8.538796249,0,0,18.33333333,8.621678104,81.66666667,8.621678104
24,5,0.001,0.1,0,TRUE,0.0001,FALSE,0.2,0.95,0.15,0.95,0.5,181254.7976,4096,64,64,FALSE,-84.50642817,29.39731596,0,0,24.33333333,17.92577288,75.66666667,17.92577288
25,10,0.0003,0.5,0,TRUE,0.0003,FALSE,0.3,0.99,0.15,0.9,1,195813.131,2048,32,128,FALSE,-91.84260297,28.91802814,3.333333333,5.773502692,63.66666667,27.61038452,33,23.64318084
26,10,0.001,0.1,0.01,TRUE,0.0003,FALSE,0.1,0.95,0.15,0.9,1,214190.0652,4096,32,256,FALSE,-56.06873268,5.5601981,0,0,14.33333333,4.509249753,85.66666667,4.509249753
27,10,0.0001,1,0,TRUE,0.0003,FALSE,0.3,0.95,0.15,0.9,0.5,261402.8282,4096,128,128,FALSE,-126.5496472,17.33087097,0,0,25.33333333,24.00694344,74.66666667,24.00694344
28,10,0.001,0.5,0,TRUE,0.0001,FALSE,0.3,0.99,0.15,0.95,0.5,90430.40816,2048,32,256,FALSE,-90.00580193,9.963963478,0,0,46.33333333,20.40424792,53.66666667,20.40424792
29,20,0.0001,0.5,0,TRUE,0.001,FALSE,0.2,0.95,0.15,0.9,0.5,123200.8772,1024,64,64,FALSE,-99.81528173,38.96623306,0,0,12.66666667,2.516611478,87.33333333,2.516611478
30,20,0.001,0.5,0.1,TRUE,0.001,FALSE,0.2,0.95,0.15,0.9,1,269336.1368,4096,128,256,FALSE,-173.4084018,8.601189723,0.333333333,0.577350269,94,5.196152423,5.666666667,4.932882862
31,20,0.0001,1,0.1,TRUE,0.001,FALSE,0.2,0.95,0.15,0.9,0.5,229973.6653,2048,32,256,FALSE,-100.1356056,11.12471678,0,0,36.66666667,8.082903769,63.33333333,8.082903769
32,20,0.0003,1,0.1,TRUE,0.001,FALSE,0.3,0.95,0.15,0.9,0.5,51224.03487,4096,64,128,FALSE,-149.8713044,9.923194998,0,0,41.66666667,19.42506971,58.33333333,19.42506971
33,20,0.0003,0.5,0.1,TRUE,0.001,FALSE,0.2,0.95,0.15,0.9,0.5,96913.89348,1024,32,128,FALSE,-101.7872563,10.19862132,0,0,44.33333333,11.93035345,55.66666667,11.93035345
34,10,0.0001,1,0,TRUE,0.0003,FALSE,0.1,0.99,0.15,0.95,1,185652.1479,2048,128,128,FALSE,-106.1971872,24.23871639,0,0,23.33333333,11.71893055,76.66666667,11.71893055
35,10,0.0003,0.5,0.1,TRUE,0.0001,FALSE,0.1,0.95,0.15,0.95,0.5,266841.4642,2048,32,256,FALSE,-149.163569,18.87465002,0,0,66,7,34,7
36,5,0.0003,0.1,0,TRUE,0.0001,FALSE,0.3,0.99,0.15,0.9,0.5,120588.9405,2048,64,256,FALSE,-120.0443692,7.613245549,0,0,37,38.93584467,63,38.93584467
37,10,0.0003,1,0.1,TRUE,0.0003,FALSE,0.3,0.99,0.15,0.95,1,78691.50468,4096,64,256,FALSE,-94.20218161,16.04298977,0,0,21,12.16552506,79,12.16552506
38,5,0.0001,0.5,0.1,TRUE,0.001,FALSE,0.3,0.99,0.15,0.9,0.5,162483.0534,4096,64,128,FALSE,-75.42142242,6.054626504,0,0,16,3,84,3
39,5,0.001,0.1,0,TRUE,0.001,FALSE,0.1,0.99,0.15,0.9,0.5,134676.3558,4096,32,64,FALSE,-73.79538729,6.216639737,0,0,16.33333333,4.041451884,83.66666667,4.041451884
40,5,0.001,0.5,0.01,TRUE,0.0001,FALSE,0.1,0.95,0.15,0.9,1,129810.9555,4096,64,256,FALSE,-99.50012387,10.48896704,0,0,13.66666667,0.577350269,86.33333333,0.577350269
41,5,0.0001,0.5,0.1,TRUE,0.0001,FALSE,0.1,0.95,0.15,0.9,0.5,208962.4234,1024,64,256,FALSE,-125.0052507,14.10578133,0,0,28,1.732050808,72,1.732050808
42,20,0.0003,1,0,TRUE,0.001,FALSE,0.1,0.95,0.15,0.9,0.5,145272.4718,4096,32,64,FALSE,-65.79830338,8.767351427,0,0,17.33333333,10.0166528,82.66666667,10.0166528
43,5,0.0003,1,0,TRUE,0.0001,FALSE,0.1,0.95,0.15,0.95,0.5,275644.7868,4096,32,256,FALSE,-67.5906499,5.274854355,0,0,20.66666667,6.429100507,79.33333333,6.429100507
44,5,0.0001,0.5,0.1,TRUE,0.0003,FALSE,0.3,0.95,0.15,0.95,1,149972.2687,2048,64,64,FALSE,-119.6493653,6.628046514,0,0,34.66666667,8.144527815,65.33333333,8.144527815
45,20,0.0001,0.1,0.01,TRUE,0.0003,FALSE,0.1,0.99,0.15,0.95,0.5,254831.1624,2048,128,64,FALSE,-71.93326602,24.53944009,0,0,14.33333333,5.859465277,85.66666667,5.859465277
46,5,0.001,1,0.1,TRUE,0.0003,FALSE,0.2,0.99,0.15,0.95,0.5,257674.3336,1024,32,64,FALSE,-154.9712785,4.722795823,0,0,98.66666667,1.527525232,1.333333333,1.527525232
47,5,0.001,1,0.1,TRUE,0.0003,FALSE,0.2,0.99,0.15,0.95,1,272102.4351,2048,32,128,FALSE,-158.1458075,5.198105092,1,1,92.66666667,6.429100507,6.333333333,5.507570547
48,10,0.001,0.1,0.1,TRUE,0.001,FALSE,0.2,0.99,0.15,0.9,0.5,195539.141,2048,64,128,FALSE,-147.2069677,3.957054977,0,0,74,6.08276253,26,6.08276253
49,5,0.001,0.5,0.01,TRUE,0.0003,FALSE,0.1,0.99,0.15,0.95,1,287478.1479,2048,32,64,FALSE,-65.02311038,4.630125956,0,0,19.33333333,5.859465277,80.66666667,5.859465277
